"","pop","abs","tempo","conc","experiment"
"423","C67",0.25,"96","75","EXP3"
"424","C68",0.247,"96","75","EXP3"
"425","REF",0.239,"96","100","EXP3"
"426","C76",0.248,"96","100","EXP3"
"427","C67",0.249,"96","100","EXP3"
"428","C68",0.244,"96","100","EXP3"
"429","REF",0.251,"96","150","EXP3"
"430","C76",0.256,"96","150","EXP3"
"431","C67",0.255,"96","150","EXP3"
"432","C68",0.231,"96","150","EXP3"
"433","REF",0.362,"120","0","EXP1"
"434","C76",0.357,"120","0","EXP1"
"435","C67",0.214,"120","0","EXP1"
"436","C68",0.166,"120","0","EXP1"
"437","REF",0.245,"120","10","EXP1"
"438","C76",0.237,"120","10","EXP1"
"439","C67",0.15,"120","10","EXP1"
"440","C68",0.157,"120","10","EXP1"
"441","REF",0.152,"120","50","EXP1"
"442","C76",0.155,"120","50","EXP1"
"443","C67",0.146,"120","50","EXP1"
"444","C68",0.145,"120","50","EXP1"
"445","REF",0.146,"120","75","EXP1"
"446","C76",0.148,"120","75","EXP1"
"447","C67",0.146,"120","75","EXP1"
"448","C68",0.145,"120","75","EXP1"
"449","REF",0.148,"120","100","EXP1"
"450","C76",0.146,"120","100","EXP1"
"451","C67",0.144,"120","100","EXP1"
"452","C68",0.145,"120","100","EXP1"
"453","REF",0.137,"120","150","EXP1"
"454","C76",0.148,"120","150","EXP1"
"455","C67",0.137,"120","150","EXP1"
"456","C68",0.14,"120","150","EXP1"
"457","REF",0.452,"120","0","EXP2"
"458","C76",0.42,"120","0","EXP2"
"459","C67",0.351,"120","0","EXP2"
"460","C68",0.324,"120","0","EXP2"
"461","REF",0.404,"120","10","EXP2"
"462","C76",0.411,"120","10","EXP2"
"463","C67",0.343,"120","10","EXP2"
"464","C68",0.31,"120","10","EXP2"
"465","REF",0.42,"120","50","EXP2"
"466","C76",0.323,"120","50","EXP2"
"467","C67",0.338,"120","50","EXP2"
"468","C68",0.285,"120","50","EXP2"
"469","REF",0.34,"120","75","EXP2"
"470","C76",0.229,"120","75","EXP2"
"471","C67",0.262,"120","75","EXP2"
"472","C68",0.241,"120","75","EXP2"
"473","REF",0.275,"120","100","EXP2"
"474","C76",0.202,"120","100","EXP2"
"475","C67",0.203,"120","100","EXP2"
"476","C68",0.279,"120","100","EXP2"
"477","REF",0.238,"120","150","EXP2"
"478","C76",0.176,"120","150","EXP2"
"479","C67",0.164,"120","150","EXP2"
"480","C68",0.176,"120","150","EXP2"
"481","REF",0.387,"120","0","EXP3"
"482","C76",0.344,"120","0","EXP3"
"483","C67",0.313,"120","0","EXP3"
"484","C68",0.295,"120","0","EXP3"
"485","REF",0.294,"120","10","EXP3"
"486","C76",0.145,"120","10","EXP3"
"487","C67",0.14,"120","10","EXP3"
"488","C68",0.158,"120","10","EXP3"
"489","REF",0.149,"120","50","EXP3"
"490","C76",0.149,"120","50","EXP3"
"491","C67",0.143,"120","50","EXP3"
"492","C68",0.139,"120","50","EXP3"
"493","REF",0.144,"120","75","EXP3"
"494","C76",0.146,"120","75","EXP3"
"495","C67",0.145,"120","75","EXP3"
"496","C68",0.142,"120","75","EXP3"
"497","REF",0.138,"120","100","EXP3"
"498","C76",0.141,"120","100","EXP3"
"499","C67",0.145,"120","100","EXP3"
"500","C68",0.139,"120","100","EXP3"
"501","REF",0.142,"120","150","EXP3"
"502","C76",0.142,"120","150","EXP3"
"503","C67",0.141,"120","150","EXP3"
"504","C68",0.142,"120","150","EXP3"
